#Temperature Pressure Volume
1999.7642903557698 249996.17438679145 10111.951320152886
1999.9947524521676 350001.6106795405 9778.357562898602
2000.443497595609 449999.62008533144 9493.5445175085
2001.2980951756629 550001.4264014133 9245.956286658075
1999.7184612053065 650001.0066369636 9026.321373969467
1999.3747091575742 799999.1239748007 8737.259926452747
1999.9222897335615 949999.5753996577 8484.522108486479
2001.1371934468123 1099998.5372458391 8260.33362607942
2000.1078829092687 1249999.7105842093 8059.881043359038
2000.3684209417568 1400000.3891091307 7879.796653401036
2999.403951294416 250002.7393271261 10409.996999755562
2999.9743698495586 349999.1440021332 10021.03492054843
3002.1587229639345 449999.46941601293 9700.004664938557
3000.701257458723 550004.9014826337 9424.79781840848
2999.0797125552763 649999.3003962134 9184.253316612963
3002.514064980778 800000.8056796516 8873.154095297883
3001.4023647452277 949995.9391189084 8604.256504382125
3000.008358607586 1099993.6091153529 8368.013286453634
2999.440563114153 1249996.8168729586 8157.627732263727
3000.7931874336123 1399998.553301038 7968.938859738672
3999.9749838981356 250003.98747627827 10824.030467034067
4000.8779699051133 349996.4461889736 10324.313887291395
4000.1570231017085 450000.0867022956 9945.109912566386
3998.514580744872 550002.3119432902 9631.858343707918
3998.999147067843 649994.4541436858 9364.65667667163
4001.3072825514987 799998.1036832514 9024.208402519944
4001.748658829804 950002.4616886291 8735.204774362792
3998.7782038510254 1099996.9584853668 8483.89932365281
4000.986472389503 1249994.2045287883 8262.244851065532
3999.4183903891035 1400006.944885669 8063.444055769871
299.97515269746054 250002.9803739252 9669.735793121376
299.86224536292747 350005.2044771046 9399.191417276545
300.4436350389922 450003.87088582286 9168.26372589482
299.9543875024995 550000.0157788442 8959.244636872625
300.06949756848627 649998.4436812637 8769.832238672267
300.59206691061786 799997.1117836433 8512.675618916217
300.10780213757243 949998.7041991603 8277.374717316537
299.5538876724655 1100000.0284143172 8071.16447814437
299.7249837472506 1249997.5358528295 7890.93041459708
299.4929583303339 1399995.495840832 7726.464411377725
